"Товар","","","","","Выручка и продажи","","","Работа с остатками","","","","Ценообразование","","","","Продвижение","","",""
"Название","SKU","Продавец","Бренд","Страна","Выручка, ₽","Средняя дневная выручка","Продажи, кол-во","Наличие","Оборачиваемость","Замороженный остаток, %","График количества складов","Базовая цена","Скидка","Цена со скидкой","График изменения цены","Дробный рейтинг","Отзывы","Дней на маркетплейсе","Средняя рекламная ставка"
"MacBook Pro 16/M1 Pro/16/512 (Space Grey)","226518722","ООО ВБ Ритейл","Apple","Китай","13710414","457013.8","98","575","176.02","74.43","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","189990","27","137248","142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,142112,138882,138882,138882,140516,140516,140516,140516,140516,140516,140516,137248,137248,137248,137248,137248","4.5","41","109","0"
"MacBook Air 13/M1/8/256 (Space Grey)","193153888","ООО ВБ Ритейл","Apple","Китай","74283","2476.1","1","567","17010","99.82","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","114990","35","74168","75260,75260,74283,74283,74283,74283,74283,74283,74283,74283,74283,74283,74283,74283,74283,75260,75260,75260,76146,76146,76146,75157,75157,74168,74168,74168,74168,74168,74168,74168","4.9","179","292","0"
"MacBook Air 13/M1/8/256 (Space Grey)","178245376","ООО ВБ Ритейл","Apple","Китай","2633467","87782.23333333334","37","496","402.16","88.71","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","114990","33","76146","69396,69396,69396,69396,69396,69396,69396,69396,69396,69396,69396,70373,70373,70373,70373,75260,75260,75260,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146,76146","4.9","179","359","0"
"Ноутбук MagicBook 14 R5 16ГБ+512ГБ 5301AFWF Без ОС","254706293","Твой Выбор","Honor","Китай","527651","17588.366666666665","13","233","412.23","89.27","0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","59990","34","39143","0,0,0,0,0,0,0,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,41231,39143,39143","0","0","24","0"
"V15 G3 ABA 15.6""/FHD/Ryzen 7/8/512/DOS","195327183","ООО ВБ Ритейл","lenovo","Китай","49589","1652.9666666666667","1","191","5730","99.48","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","72990","30","50801","50844,50844,50844,50844,50844,50844,50844,50844,49589,49589,49589,49589,49589,49589,49589,50844,50844,50844,51436,51436,51436,51436,51436,51436,51436,51436,51436,51436,50801,50801","4.8","17","257","0"
"Aspire 3 A314 14"" FHD Celeron N4500 8 256 DOS","172331070","ООО ВБ Ритейл","Acer","","33759","1125.3","1","173","5190","99.42","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","43600","24","33000","33759,33759,33759,33380,33380,33000,33000,33000,32621,32621,32621,32621,32621,32621,32621,33759,33759,33000,33380,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000","4.9","19","393","0"
"Ноутбук для работы, учебы SSD 512 гб, Ram 16 гб","188225589","E-Commerce inv","Smart Tech","Китай","1430785","47692.833333333336","66","156","70.91","36.54","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3","62533","66","21217","22185,22185,22185,22185,22185,22185,22185,21750,21750,21265,21265,21265,21265,21265,21265,21265,22135,22135,22389,22135,22135,22135,22135,22135,22135,22135,22135,22135,22135,21217","4.59","137","321","0"
"MacBook Air 13/M2/8/256 (Midnight)","193153881","ООО ВБ Ритейл","Apple","Китай","196978","6565.933333333333","2","155","2325","98.06","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","159990","38","99065","97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,97913,99273,99273,99273,100441,100441,100441,100441,99065,99065,99065,99065,99065,99065,99065,99065","4.7","67","292","0"
"Ноутбук для учебы и работы HTEX H16 Pro 4-Ядра 16ГБ/512 ГБ","251828731","ИП Негматова И Т","","Китай","6436995","214566.5","293","154","10.51","0","0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2","50000","53","23460","20460,20460,21390,21390,21390,21390,21390,21390,22320,22320,21750,21750,21750,21750,21750,21750,21750,21750,21750,21750,21750,22185,22185,22185,22185,23460,23460,23460,23460,23460","4.8","65","40","487"
"Legion Slim 5 16APH8 16""/FHD/Ryzen 7/16/512/RTX 4050/DOS","195318935","ООО ВБ Ритейл","lenovo","Китай","764942","25498.066666666666","7","129","552.86","91.47","0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","148990","26","108911","111444,111444,111444,111444,111444,111444,111444,111444,107645,107645,107645,107645,107645,107645,107645,108911,108911,108911,110193,110193,110193,110193,110193,110193,110193,110193,110193,110193,108911,108911","4.9","15","255","0"
